2026-04-28 12:40:24 | INFO     | MainPipeline | --- Processing Started: AroundTown Focused POC SOW.pdf ---
2026-04-28 12:40:24 | INFO     | Router | Analyzing file extension: .pdf
2026-04-28 12:40:24 | INFO     | Router | Performing deep analysis on PDF...
2026-04-28 12:40:24 | INFO     | Router | Route identified: PDF (Native Text)
2026-04-28 12:40:24 | INFO     | NativePDF | Starting native extraction for: C:\Users\DanielShapira\git\automated-gw-generator\files\AroundTown Focused POC SOW.pdf
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 1...
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 2...
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 3...
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 4...
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 5...
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 6...
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 7...
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 8...
2026-04-28 12:40:24 | DEBUG    | NativePDF | Processing page 9...
2026-04-28 12:40:24 | INFO     | NativePDF | Successfully extracted 437 text spans.
2026-04-28 12:40:24 | INFO     | NativePDF | Extracting embedded images from PDF...
2026-04-28 12:40:24 | INFO     | NativePDF | Extracted 11 images successfully.
2026-04-28 12:40:24 | INFO     | Segmenter | Starting segmentation for 437 elements.
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 6 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 8 (Reason: Font=True, Gap=False, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 10 (Reason: Font=True, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 11 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 13 (Reason: Font=True, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 15 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 16 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 39 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 42 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 53 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 55 (Reason: Font=True, Gap=False, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 57 (Reason: Font=True, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 60 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 62 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 69 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 81 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 95 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 103 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 113 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 115 (Reason: Font=True, Gap=False, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 117 (Reason: Font=True, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 119 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 131 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 133 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 140 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 142 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 143 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 145 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 154 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 156 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 162 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 163 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 180 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 186 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 188 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 191 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 192 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 222 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 229 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 233 (Reason: Font=True, Gap=False, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 235 (Reason: Font=True, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 237 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 238 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 262 (Reason: Font=False, Gap=True, Style=False)
2026-04-28 12:40:24 | DEBUG    | Segmenter | New block started at element 272 (Reason: Font=False, Gap=True, Style=False)
